EntityName,EntityAbout,EntityType,PropertyName,PropertyAbout,PropertyType,Value,PhenomenonTime,ResultTime
"","","","","","","14.0","2014-10-31T12:20:45.092Z","2014-10-31T12:30:45.092Z"
"","","","","","","14.0","2014-10-31T12:08:15.026Z","2014-10-31T12:18:15.026Z"
"","","","","","","13.0","2014-10-31T11:55:26.867Z","2014-10-31T12:05:26.867Z"
"","","","","","","13.0","2014-10-31T11:42:30.028Z","2014-10-31T11:52:30.028Z"
"","","","","","","13.0","2014-10-31T11:30:05.503Z","2014-10-31T11:40:05.503Z"
"","","","","","","12.0","2014-10-31T11:17:50.209Z","2014-10-31T11:27:50.209Z"
"","","","","","","12.0","2014-10-31T11:05:26.122Z","2014-10-31T11:15:26.122Z"
"","","","","","","12.0","2014-10-31T10:53:02.184Z","2014-10-31T11:03:02.184Z"
"","","","","","","12.0","2014-10-31T10:40:30.436Z","2014-10-31T10:50:30.436Z"
"","","","","","","12.0","2014-10-31T10:27:54.212Z","2014-10-31T10:37:54.212Z"
"","","","","","","12.0","2014-10-31T10:15:34.818Z","2014-10-31T10:25:34.818Z"
"","","","","","","12.0","2014-10-31T10:02:58.860Z","2014-10-31T10:12:58.860Z"
"","","","","","","9.0","2014-10-31T09:50:31.802Z","2014-10-31T10:00:31.802Z"
"","","","","","","9.0","2014-10-31T09:38:01.164Z","2014-10-31T09:48:01.164Z"
"","","","","","","11.0","2014-10-31T09:25:39.091Z","2014-10-31T09:35:39.091Z"
"","","","","","","11.0","2014-10-31T09:13:09.371Z","2014-10-31T09:23:09.371Z"
"","","","","","","9.0","2014-10-31T09:00:45.169Z","2014-10-31T09:10:45.169Z"
"","","","","","","5.0","2014-10-31T08:48:25.126Z","2014-10-31T08:58:25.126Z"
"","","","","","","5.0","2014-10-31T08:35:57.579Z","2014-10-31T08:45:57.579Z"
"","","","","","","5.0","2014-10-31T08:23:39.652Z","2014-10-31T08:33:39.652Z"
"","","","","","","5.0","2014-10-31T08:10:59.748Z","2014-10-31T08:20:59.748Z"
