EntityName,EntityAbout,EntityType,PropertyName,PropertyAbout,PropertyType,Value,PhenomenonTime,ResultTime
"","","","","","","11.0","2014-10-30T18:16:49.016Z","2014-10-30T18:26:49.016Z"
"","","","","","","12.0","2014-10-30T18:04:26.140Z","2014-10-30T18:14:26.140Z"
"","","","","","","12.0","2014-10-30T17:51:51.153Z","2014-10-30T18:01:51.153Z"
"","","","","","","13.0","2014-10-30T17:39:23.536Z","2014-10-30T17:49:23.536Z"
"","","","","","","12.0","2014-10-30T17:26:57.627Z","2014-10-30T17:36:57.627Z"
"","","","","","","13.0","2014-10-30T17:14:27.449Z","2014-10-30T17:24:27.449Z"
"","","","","","","13.0","2014-10-30T17:02:06.486Z","2014-10-30T17:12:06.486Z"
"","","","","","","13.0","2014-10-30T16:49:24.310Z","2014-10-30T16:59:24.310Z"
"","","","","","","13.0","2014-10-30T16:36:54.049Z","2014-10-30T16:46:54.049Z"
"","","","","","","14.0","2014-10-30T16:24:28.674Z","2014-10-30T16:34:28.674Z"
