EntityName,EntityAbout,EntityType,PropertyName,PropertyAbout,PropertyType,Value,PhenomenonTime,ResultTime
"","","","","","","6.0","2014-10-31T03:08:40.234Z","2014-10-31T03:18:40.234Z"
"","","","","","","6.0","2014-10-31T02:56:40.355Z","2014-10-31T03:06:40.355Z"
"","","","","","","6.0","2014-10-31T02:44:38.395Z","2014-10-31T02:54:38.395Z"
"","","","","","","6.0","2014-10-31T02:32:39.167Z","2014-10-31T02:42:39.167Z"
"","","","","","","6.0","2014-10-31T02:20:30.296Z","2014-10-31T02:30:30.296Z"
"","","","","","","6.0","2014-10-31T02:08:25.860Z","2014-10-31T02:18:25.860Z"
"","","","","","","6.0","2014-10-31T01:56:23.239Z","2014-10-31T02:06:23.239Z"
"","","","","","","6.0","2014-10-31T01:44:19.091Z","2014-10-31T01:54:19.091Z"
"","","","","","","6.0","2014-10-31T01:32:14.235Z","2014-10-31T01:42:14.235Z"
"","","","","","","6.0","2014-10-31T01:20:02.955Z","2014-10-31T01:30:02.955Z"
"","","","","","","6.0","2014-10-31T01:07:54.785Z","2014-10-31T01:17:54.785Z"
"","","","","","","6.0","2014-10-31T00:55:39.611Z","2014-10-31T01:05:39.611Z"
"","","","","","","6.0","2014-10-31T00:43:32.877Z","2014-10-31T00:53:32.877Z"
"","","","","","","6.0","2014-10-31T00:31:31.334Z","2014-10-31T00:41:31.334Z"
"","","","","","","7.0","2014-10-31T00:19:18.589Z","2014-10-31T00:29:18.589Z"
"","","","","","","6.0","2014-10-31T00:07:06.854Z","2014-10-31T00:17:06.854Z"
"","","","","","","7.0","2014-10-30T23:54:44.896Z","2014-10-31T00:04:44.896Z"
"","","","","","","7.0","2014-10-30T23:42:41.421Z","2014-10-30T23:52:41.421Z"
"","","","","","","7.0","2014-10-30T23:30:28.525Z","2014-10-30T23:40:28.525Z"
"","","","","","","7.0","2014-10-30T23:18:18.562Z","2014-10-30T23:28:18.562Z"
"","","","","","","7.0","2014-10-30T23:06:04.449Z","2014-10-30T23:16:04.449Z"
"","","","","","","7.0","2014-10-30T22:53:33.485Z","2014-10-30T23:03:33.485Z"
"","","","","","","7.0","2014-10-30T22:41:19.819Z","2014-10-30T22:51:19.819Z"
"","","","","","","7.0","2014-10-30T22:29:04.894Z","2014-10-30T22:39:04.894Z"
"","","","","","","7.0","2014-10-30T22:16:48.324Z","2014-10-30T22:26:48.324Z"
"","","","","","","7.0","2014-10-30T22:04:31.351Z","2014-10-30T22:14:31.351Z"
"","","","","","","8.0","2014-10-30T21:52:15.882Z","2014-10-30T22:02:15.882Z"
"","","","","","","9.0","2014-10-30T21:39:55.764Z","2014-10-30T21:49:55.764Z"
